number;year;date;month;plot;tree;species;area_traps_m2;acorns;aborted_small;aborted_verysmall;aborted_tot;notes
1;2021;12/10/2021;October;elle;1;SO;1,0549;0;0;0;0;
2;2021;12/10/2021;October;elle;2;SO;1,0549;0;9;2;11;
3;2021;12/10/2021;October;elle;3;SO;1,0549;0;0;0;0;
4;2021;12/10/2021;October;elle;4;SO;1,0549;0;0;0;0;
5;2021;12/10/2021;October;wild;5;SO;1,0549;0;11;1;12;"a. some were ""aborted""; b_1 heavily damaged; d_4 aborted"
6;2021;12/10/2021;October;wild;6;SO;1,0549;0;6;5;11;"a. 3 ab; c. eaten; d. 5 ab"
7;2021;12/10/2021;October;wild;7;SO;1,0549;0;6;2;8;"b. 3 ab; c. 2 ab"
8;2021;12/10/2021;October;wild;8;SO;1,0549;1;9;0;9;"b. 2 ab; c. 1 ab; d_eaten"
9;2021;12/10/2021;October;wild_middle;9;SO;1,0549;0;0;28;28;"a. 1 ab; b. some ab"
10;2021;12/10/2021;October;wild_middle;10;SO;1,0549;0;8;6;14;a. 1 ab
11;2021;12/10/2021;October;wild_middle;11;SO;1,0549;0;1;10;11;c. 1 ab
12;2021;12/10/2021;October;wild_middle;12;SO;1,0549;0;10;3;13;"a. some ab; b. 13 ab; c. 2 ab; d. 3 ab"
13;2021;12/10/2021;October;wild_far;13;SO;1,0549;2;12;3;15;"b. 5 ab; d. 10 ab"
14;2021;12/10/2021;October;wild_far;14;SO;1,0549;0;10;4;14;
15;2021;12/10/2021;October;wild_far;15;SO;1,0549;0;0;0;0;TO NAIL DOWN + enlarge holes
16;2021;12/10/2021;October;wild_far;16;SO;1,0549;0;1;8;9;"b. 1 ab; d. 1 ab"
17;2021;12/10/2021;October;far_far_away;17;SO;1,0549;0;11;1;12;"a. 3 ab; b. 2 ab; c. 1 ab; d. 4 ab"
18;2021;12/10/2021;October;far_far_away;18;SO;1,0549;0;19;9;28;"a. 2 ab; d. 5 ab"
19;2021;12/10/2021;October;far_far_away;19;SO;1,0549;0;2;1;3;
20;2021;12/10/2021;October;far_far_away;20;SO;1,0549;3;5;3;8;
21;2021;12/10/2021;October;ro_plot;21;RO;1,0549;13;0;0;0;c. 1 was half eaten
22;2021;12/10/2021;October;ro_plot;22;RO;1,0549;2;0;0;0;
23;2021;12/10/2021;October;ro_plot;23;RO;1,0549;33;0;2;2;a. 1 ab
24;2021;12/10/2021;October;ro_plot;24;RO;1,0549;6;0;1;1;
25;2021;12/10/2021;October;ro_plot;25;RO;1,0549;25;0;0;0;
26;2021;12/10/2021;October;ro_plot;26;RO;1,0549;7;0;2;2;
27;2021;12/10/2021;October;ro_plot;27;RO;1,0549;3;0;0;0;
28;2021;12/10/2021;October;ro_plot;28;RO;1,0549;0;0;0;0;
29;2021;12/10/2021;October;ro_plot;29;RO;1,0549;3;0;0;0;
30;2021;12/10/2021;October;ro_plot;30;RO;1,0549;8;0;1;1;
31;2021;12/10/2021;October;ro_plot;31;RO;1,0549;3;0;1;1;
32;2021;12/10/2021;October;ro_plot;32;RO;1,0549;2;0;0;0;
33;2021;12/10/2021;October;ro_plot;33;RO;1,0549;0;0;0;0;
34;2021;12/10/2021;October;ro_plot;34;RO;1,0549;0;0;0;0;
35;2021;12/10/2021;October;ro_plot;35;RO;1,0549;0;0;0;0;
36;2021;12/10/2021;October;ro_plot;36;RO;1,0549;0;0;0;0;
37;2021;12/10/2021;October;ro_plot;37;RO;1,0549;1;0;0;0;
38;;31/10/2021;November;elle;1;SO;1,0549;0;0;0;0;1 normal eaten
39;;31/10/2021;November;elle;2;SO;1,0549;0;0;1;1;5 ab + many cups
40;;31/10/2021;November;elle;3;SO;1,0549;0;0;0;0;1 eaten
41;;31/10/2021;November;elle;4;SO;1,0549;0;0;0;0;
42;;31/10/2021;November;wild;5;SO;1,0549;0;0;0;0;
43;;31/10/2021;November;wild;6;SO;1,0549;0;0;1;1;1 normal eaten
44;;31/10/2021;November;wild;7;SO;1,0549;0;0;0;0;
45;;31/10/2021;November;wild;8;SO;1,0549;0;0;0;0;1 ab/eaten
46;;31/10/2021;November;wild_middle;9;SO;1,0549;0;3;2;5;>10 ab
47;;31/10/2021;November;wild_middle;10;SO;1,0549;0;0;0;0;
48;;31/10/2021;November;wild_middle;11;SO;1,0549;0;0;0;0;
49;;31/10/2021;November;wild_middle;12;SO;1,0549;0;1;0;1;
50;;31/10/2021;November;wild_far;13;SO;1,0549;0;0;0;0;around 10 ab
51;;31/10/2021;November;wild_far;14;SO;1,0549;0;0;0;0;
52;;31/10/2021;November;wild_far;15;SO;1,0549;0;1;0;1;
53;;31/10/2021;November;wild_far;16;SO;1,0549;0;1;0;1;1 ab and 1 more cup
54;;02/11/2021;November;far_far_away;17;SO;1,0549;1;0;0;0;2 ab
55;;02/11/2021;November;far_far_away;18;SO;1,0549;1;0;0;0;5 ab + many cups
56;;02/11/2021;November;far_far_away;19;SO;1,0549;0;0;0;0;1 small cup
57;;02/11/2021;November;far_far_away;20;SO;1,0549;0;0;1;1;or ab?
58;;02/11/2021;November;ro_plot;21;RO;1,0549;5;0;0;0;
59;;02/11/2021;November;ro_plot;22;RO;1,0549;0;0;0;0;
60;;02/11/2021;November;ro_plot;23;RO;1,0549;9;1;0;1;3 ab + many cups
61;;02/11/2021;November;ro_plot;24;RO;1,0549;1;0;0;0;2 ab
62;;02/11/2021;November;ro_plot;25;RO;1,0549;1;0;1;1;more cups than ac
63;;02/11/2021;November;ro_plot;26;RO;1,0549;4;0;0;0;1 ab + at least one more cup
64;;02/11/2021;November;ro_plot;27;RO;1,0549;1;0;0;0;
65;;02/11/2021;November;ro_plot;28;RO;1,0549;0;0;0;0;
66;;02/11/2021;November;ro_plot;29;RO;1,0549;1;0;0;0;1 cups lonely
67;;02/11/2021;November;ro_plot;30;RO;1,0549;0;0;0;0;
68;;02/11/2021;November;ro_plot;31;RO;1,0549;0;1;0;1;2 ab + 1 more cuo
69;;02/11/2021;November;ro_plot;32;RO;1,0549;0;0;1;1;
70;;02/11/2021;November;ro_plot;33;RO;1,0549;0;0;0;0;
71;;02/11/2021;November;ro_plot;34;RO;1,0549;0;0;0;0;2 ab + caps w/o acorn
72;;02/11/2021;November;ro_plot;35;RO;1,0549;0;0;1;1;more cups than acorns
73;;02/11/2021;November;ro_plot;36;RO;1,0549;0;0;0;0;
74;;02/11/2021;November;ro_plot;37;RO;1,0549;0;0;0;0;
