number;date;year;session;plot;transect;block;cage;species;invasiveness;density;treatment;actual_treatment;failed_exc;survival_detailed;survival;viability;damage;weevil;root_lenght;shoot_lenght;notes
1;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
2;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
3;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
4;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
5;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
6;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
7;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
8;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
9;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
10;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
11;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
12;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
13;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;ger_root;germinated;viable;insect;inside_alive;0,7;NA;germinated but with incect tht didnt damaged it
14;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;ger_root;germinated;viable;NA;NA;0,6;NA;
15;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;ger_root;germinated;viable;NA;NA;0,4;NA;
16;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;ger_root;germinated;viable;NA;NA;0,3;NA;
17;06/06/2022;2022;s1_22;elle;elle;A17;elleA17SOexclusion;SO;native;17;exclusion;exclusion;ok;ger_root;germinated;viable;NA;NA;0,2;NA;
18;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bROexclusion;RO;invasive;7;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
19;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bROexclusion;RO;invasive;7;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
20;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bROexclusion;RO;invasive;7;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
21;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bROexclusion;RO;invasive;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
22;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bROexclusion;RO;invasive;7;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
23;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bROexclusion;RO;invasive;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
24;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bROexclusion;RO;invasive;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
25;06/06/2022;2022;s1_22;elle;elle;A5;elleA5SOcontrol;SO;native;5;control;control;ok;damaged;damaged;not_viable;animal;NA;NA;NA;
26;06/06/2022;2022;s1_22;elle;elle;A5;elleA5SOcontrol;SO;native;5;control;control;ok;damaged;damaged;not_viable;animal;NA;NA;NA;
27;06/06/2022;2022;s1_22;elle;elle;A5;elleA5SOcontrol;SO;native;5;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
28;06/06/2022;2022;s1_22;elle;elle;A5;elleA5SOcontrol;SO;native;5;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
29;06/06/2022;2022;s1_22;elle;elle;A5;elleA5SOcontrol;SO;native;5;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
30;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOexclusion;SO;native;7;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;probabile 7 densities (missing block in tag)
31;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOexclusion;SO;native;7;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;probabile 7 densities (missing block in tag)
32;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOexclusion;SO;native;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;probabile 7 densities (missing block in tag)
33;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOexclusion;SO;native;7;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;NA;NA;NA;probabile 7 densities (missing block in tag)
